    0.0833  408.0965
    0.1667  409.2065
    0.2500  408.7265
    0.3333  410.1565
    0.4167  410.9365
    0.5000  410.9065
    0.5833  408.8165
    0.6667  407.1165
    0.7500  405.8765
    0.8333  405.7065
    0.9167  407.4365
    1.0000  408.9565
    1.0833  409.4365
    1.1667  410.2765
    1.2500  410.9665
    1.3333  413.2665
    1.4167  413.9765
    1.5000  413.6465
    1.5833  411.7965
    1.6667  409.6465
    1.7500  408.4665
    1.8333  408.7865
    1.9167  410.4265
    2.0000  411.8265
    2.0833  412.7665
    2.1667  414.5165
    2.2500  415.3465
    2.3333  416.4765
    2.4167  416.8665
    2.5000  416.8765
    2.5833  415.5165
    2.6667  412.9565
    2.7500  411.9965
    2.8333  412.3465
    2.9167  413.8165
    3.0000  415.3665
    3.0833  416.6165
    3.1667  417.0565
    3.2500  418.1165
    3.3333  419.6065
    3.4167  420.4765
    3.5000  419.5765
    3.5833  417.8365
    3.6667  415.4465
    3.7500  414.3365
    3.8333  414.8365
    3.9167  416.4265
    4.0000  417.4565
    4.0833  418.5865
    4.1667  419.3165
    4.2500  420.1165
    4.3333  421.0865
    4.4167  422.3065
    4.5000  421.4065
    4.5833  419.0865
